Student_ID,Gender,Age,Attendance_Percentage,Study_Hours_Per_Day,Assignment_Average,Sleep_Hours,Mathematics,Science,English,History,Computer Science,Overall_Score,Grade
S032,Female,16,98.7,3.8,53.5,8.5,99.7,100.0,95.2,100.0,93.3,97.6,A+
S033,Female,18,81.9,3.6,74.8,6.8,90.8,96.2,92.9,97.6,96.0,94.7,A+
S034,Male,15,72.5,2.7,86.6,6.6,78.6,96.0,91.9,88.6,92.0,89.4,A+
S035,Male,16,89.4,6.1,96.0,6.0,97.7,94.6,100.0,100.0,91.9,96.8,A+
S036,Male,18,71.0,4.3,78.9,5.3,99.0,95.6,100.0,93.7,98.5,97.4,A+
S037,Female,15,83.9,1.1,97.5,7.8,94.3,98.7,100.0,98.2,100.0,98.2,A+
S038,Male,15,64.4,3.7,61.4,7.1,75.1,90.7,92.7,76.9,85.9,84.3,A
S039,Male,15,70.0,2.7,57.6,5.7,96.2,85.2,89.8,100.0,100.0,94.2,A+
S040,Male,18,83.8,4.5,77.3,5.7,97.9,100.0,100.0,98.1,99.0,99.0,A+
S041,Male,15,88.6,2.5,82.6,6.7,91.6,100.0,92.6,93.7,94.7,94.5,A+
S042,Female,18,83.5,3.4,77.6,8.7,100.0,96.9,100.0,100.0,100.0,99.4,A+
S043,Female,16,81.0,4.1,53.2,6.7,88.8,82.3,82.5,83.4,89.9,85.4,A
S044,Male,16,79.3,4.5,76.9,5.5,100.0,100.0,100.0,100.0,95.4,99.1,A+
S045,Male,18,68.7,2.1,62.3,6.8,80.2,78.9,76.3,85.5,84.2,81.0,A
S046,Female,18,75.5,3.1,86.0,6.7,100.0,96.3,100.0,97.4,100.0,98.7,A+
S047,Female,16,77.9,2.9,82.4,4.3,93.5,93.0,89.2,87.3,88.9,90.4,A+
S048,Male,17,91.5,2.7,66.7,6.9,96.4,94.5,89.2,100.0,100.0,96.0,A+
S049,Female,17,85.1,5.6,71.8,6.8,100.0,100.0,100.0,87.7,100.0,97.5,A+
S050,Female,16,66.1,4.0,65.3,7.7,79.2,93.5,93.7,88.2,89.5,88.8,A
S051,Male,16,84.9,2.0,77.2,8.8,93.2,92.7,95.8,98.1,96.0,95.2,A+
S052,Male,15,78.5,4.6,89.5,8.1,100.0,99.9,100.0,100.0,100.0,100.0,A+
S053,Male,17,75.9,6.0,66.2,6.7,95.2,100.0,100.0,82.3,98.7,95.2,A+
S054,Female,18,87.5,4.7,84.0,5.9,99.7,91.0,96.8,85.6,100.0,94.6,A+
S055,Male,16,91.3,1.7,71.6,9.6,91.7,100.0,100.0,89.9,97.2,95.8,A+
S056,Male,16,90.4,2.9,68.5,7.1,93.8,97.5,95.1,93.7,95.3,95.1,A+
S057,Female,18,74.4,5.0,76.7,7.0,100.0,100.0,92.9,92.9,93.6,95.9,A+
S058,Female,16,79.2,2.7,65.6,7.0,94.5,91.8,96.0,96.4,100.0,95.7,A+
S059,Male,17,85.0,4.0,71.4,7.2,89.1,100.0,96.8,93.0,97.6,95.3,A+
S060,Female,15,90.8,4.4,63.6,6.9,94.8,97.3,100.0,92.6,100.0,96.9,A+
S061,Male,16,77.7,2.4,100.0,6.4,93.1,100.0,92.2,95.3,99.0,95.9,A+
S062,Male,15,80.3,3.4,78.4,6.5,100.0,83.4,89.2,95.2,85.1,90.6,A+
S063,Male,15,72.0,1.0,69.6,7.0,100.0,97.4,98.3,95.2,98.1,97.8,A+
S064,Female,18,71.2,2.3,80.6,6.5,100.0,100.0,97.6,100.0,97.0,98.9,A+
S065,Female,17,89.3,3.2,76.7,6.3,89.8,95.9,96.7,100.0,97.1,95.9,A+
S066,Male,18,94.2,2.0,75.3,7.1,99.1,99.0,95.5,93.8,100.0,97.5,A+
S067,Male,17,81.4,5.5,85.4,6.7,96.9,100.0,100.0,89.0,96.0,96.4,A+
S068,Male,15,91.0,1.8,87.1,8.5,99.3,100.0,96.2,92.9,100.0,97.7,A+
S069,Male,15,85.3,3.0,71.6,4.3,94.4,94.3,100.0,98.4,94.8,96.4,A+
S070,Male,16,76.2,3.7,71.1,8.1,98.1,100.0,100.0,100.0,100.0,99.6,A+
S071,Female,17,85.3,5.2,74.7,8.2,95.9,100.0,100.0,89.4,94.4,95.9,A+
S072,Male,18,95.8,1.8,50.4,4.9,85.8,86.5,86.2,89.1,91.7,87.9,A
S073,Male,18,81.7,4.9,59.8,6.7,96.2,90.7,94.0,84.2,86.3,90.3,A+
S074,Female,16,96.1,3.5,94.4,6.6,100.0,100.0,100.0,94.8,100.0,99.0,A+
S075,Female,17,58.4,2.3,97.7,5.6,89.2,79.1,85.0,89.3,84.7,85.5,A
S076,Female,17,89.4,4.1,75.0,6.2,100.0,100.0,100.0,100.0,100.0,100.0,A+
S077,Female,18,82.8,3.7,84.9,5.9,93.3,98.8,100.0,98.6,91.6,96.5,A+
S078,Female,18,79.3,2.8,81.7,8.8,98.8,100.0,95.4,100.0,97.9,98.4,A+
S079,Male,16,82.8,3.6,100.0,7.9,100.0,100.0,100.0,100.0,100.0,100.0,A+
S080,Female,16,64.1,3.0,91.4,8.3,88.9,96.1,100.0,99.4,100.0,96.9,A+
S081,Male,17,80.0,3.6,76.5,7.7,99.5,100.0,94.6,100.0,100.0,98.8,A+
S082,Female,16,85.2,4.3,66.5,5.9,90.9,88.7,100.0,100.0,93.4,94.6,A+
S083,Male,16,95.3,5.4,58.7,6.5,98.0,97.9,92.8,91.7,100.0,96.1,A+
S084,Female,15,77.3,2.0,80.4,7.5,100.0,100.0,100.0,100.0,100.0,100.0,A+
S085,Female,16,74.7,6.1,68.9,5.8,98.5,100.0,100.0,92.9,100.0,98.3,A+
S086,Female,16,77.5,1.2,60.9,7.7,95.9,100.0,100.0,86.1,100.0,96.4,A+
S087,Male,17,90.2,3.3,70.2,6.8,95.6,100.0,97.1,99.1,100.0,98.4,A+
S088,Female,16,85.0,4.2,65.0,6.6,100.0,93.5,100.0,100.0,100.0,98.7,A+
S089,Male,16,77.2,3.8,98.2,7.7,100.0,93.1,100.0,100.0,100.0,98.6,A+
S090,Female,17,86.6,2.8,88.6,7.4,100.0,100.0,99.0,98.2,100.0,99.4,A+
S091,Female,16,82.9,3.3,77.9,6.6,100.0,100.0,97.6,100.0,98.6,99.2,A+
S092,Female,15,90.7,2.9,95.8,8.2,95.0,99.5,99.0,95.6,95.9,97.0,A+
S093,Female,18,75.7,2.8,78.9,5.9,99.7,100.0,100.0,98.8,96.4,99.0,A+
S094,Female,17,79.1,4.5,67.7,7.6,97.6,100.0,94.3,91.2,94.9,95.6,A+
S095,Female,16,78.5,3.9,96.3,7.6,100.0,100.0,100.0,98.1,100.0,99.6,A+
S096,Male,15,68.8,2.7,84.5,6.7,100.0,100.0,90.4,98.2,89.9,95.7,A+
S097,Male,15,84.7,4.6,65.6,7.3,97.0,100.0,100.0,97.0,100.0,98.8,A+
S098,Male,18,84.3,3.9,75.7,5.7,100.0,98.5,100.0,100.0,100.0,99.7,A+
S099,Male,16,82.0,4.5,67.5,7.9,98.8,100.0,100.0,95.6,99.0,98.7,A+
S100,Female,17,79.9,4.3,61.4,6.8,93.0,96.8,100.0,93.8,90.1,94.7,A+
S101,Female,16,69.3,2.5,89.1,6.5,84.4,94.9,95.7,100.0,99.1,94.8,A+
S102,Male,18,78.2,2.8,100.0,8.0,100.0,97.6,100.0,100.0,99.2,99.4,A+
S103,Female,17,78.9,4.4,61.2,6.3,93.5,98.5,91.5,93.3,100.0,95.4,A+
S104,Male,17,74.8,4.2,84.8,5.6,97.7,97.9,100.0,100.0,92.8,97.7,A+
S105,Male,18,80.5,3.5,70.2,5.4,92.8,100.0,100.0,90.0,83.1,93.2,A+
S106,Female,16,85.6,3.6,72.2,7.6,100.0,100.0,97.9,98.7,100.0,99.3,A+
S107,Female,15,99.0,5.0,70.9,5.7,97.9,100.0,100.0,96.0,97.2,98.2,A+
S108,Female,16,83.6,2.8,67.6,8.8,100.0,100.0,100.0,99.6,100.0,99.9,A+
S109,Female,15,84.3,4.2,78.6,4.9,95.4,100.0,95.7,100.0,97.0,97.6,A+
S110,Male,18,81.3,3.3,68.0,8.7,100.0,96.0,100.0,100.0,100.0,99.2,A+
S111,Female,17,64.7,3.2,81.2,7.2,92.4,94.7,85.5,86.8,91.7,90.2,A+
S112,Female,18,81.8,4.8,77.4,6.9,100.0,100.0,100.0,98.8,98.2,99.4,A+
S113,Male,15,82.5,4.5,75.1,6.5,96.1,100.0,94.3,100.0,100.0,98.1,A+
S114,Female,16,100.0,4.5,67.1,7.4,100.0,100.0,100.0,100.0,96.0,99.2,A+
S115,Male,18,80.3,5.1,71.1,7.0,100.0,95.0,98.9,97.0,98.3,97.8,A+
S116,Male,15,84.7,3.5,87.1,8.1,100.0,100.0,100.0,100.0,100.0,100.0,A+
S117,Female,15,81.7,4.3,84.0,7.1,100.0,100.0,98.1,94.3,93.4,97.2,A+
S118,Male,16,71.5,3.1,66.3,7.2,90.9,95.1,93.5,92.9,89.1,92.3,A+
S119,Male,18,92.3,3.9,79.2,6.6,100.0,96.5,100.0,100.0,100.0,99.3,A+
S120,Female,18,88.8,3.3,87.0,6.9,100.0,97.3,100.0,100.0,100.0,99.5,A+
S121,Male,16,89.1,3.6,58.0,7.3,100.0,97.1,100.0,97.2,100.0,98.9,A+
S122,Male,18,73.8,4.2,84.5,5.3,99.0,93.5,95.9,95.9,92.5,95.4,A+
S123,Male,17,94.6,2.5,70.0,5.7,100.0,100.0,96.9,91.2,100.0,97.6,A+
S124,Female,15,69.4,6.0,84.8,7.7,96.6,95.4,100.0,100.0,100.0,98.4,A+
S125,Female,15,87.3,2.3,68.8,7.2,94.4,99.5,95.1,97.7,100.0,97.3,A+
S126,Female,17,100.0,2.0,56.3,6.8,88.2,84.8,89.8,88.3,77.6,85.7,A
S127,Female,16,73.1,4.9,58.5,7.0,93.1,85.4,98.6,93.0,98.1,93.6,A+
S128,Male,16,76.9,4.4,78.6,7.3,100.0,93.0,99.6,92.5,100.0,97.0,A+
S129,Male,15,82.9,4.2,81.1,6.5,100.0,100.0,97.6,100.0,88.1,97.1,A+
S130,Male,16,77.5,4.3,67.1,6.2,90.1,99.2,96.4,93.4,96.3,95.1,A+
S131,Female,18,68.0,3.5,85.7,7.2,97.9,93.1,90.5,93.0,91.2,93.1,A+
S132,Male,17,82.6,2.4,58.1,6.0,100.0,96.5,92.4,91.0,92.1,94.4,A+
S133,Female,15,72.4,3.6,77.2,7.4,92.4,82.4,93.5,83.3,92.3,88.8,A
S134,Male,18,86.3,2.7,63.5,5.3,83.8,77.6,82.8,76.9,70.1,78.2,B
S135,Male,17,73.7,4.7,70.2,8.0,100.0,100.0,99.0,100.0,100.0,99.8,A+
S136,Male,15,95.9,3.3,78.6,7.5,95.9,94.5,100.0,99.5,100.0,98.0,A+
S137,Female,16,75.0,2.5,67.7,7.3,88.8,81.1,87.5,94.9,89.3,88.3,A
S138,Female,17,79.1,3.1,73.4,8.0,100.0,100.0,97.6,90.2,100.0,97.6,A+
S139,Female,15,89.3,4.0,90.1,8.7,99.2,96.8,98.5,100.0,100.0,98.9,A+
S140,Female,16,70.9,2.8,71.1,8.0,86.2,97.2,88.9,91.6,91.5,91.1,A+
S141,Female,17,84.0,2.5,88.0,5.2,88.8,87.5,96.2,100.0,91.4,92.8,A+
S142,Male,15,93.8,3.8,64.4,5.7,94.9,95.2,97.8,100.0,99.2,97.4,A+
S143,Female,17,67.5,3.8,84.4,6.4,100.0,96.7,94.9,100.0,99.7,98.3,A+
S144,Female,18,83.7,2.9,95.3,7.0,100.0,99.9,100.0,96.0,100.0,99.2,A+
S145,Male,18,84.3,2.9,48.3,7.5,100.0,100.0,91.2,92.7,95.8,95.9,A+
S146,Male,16,89.0,3.8,68.4,6.3,92.7,94.4,96.0,96.1,99.4,95.7,A+
S147,Female,15,70.9,1.8,84.9,7.2,83.5,78.6,82.4,84.5,76.2,81.0,A
S148,Male,17,70.1,1.8,75.6,6.2,84.6,75.0,81.3,80.1,80.9,80.4,A
S149,Male,16,86.7,2.6,82.5,6.4,93.3,100.0,99.8,100.0,100.0,98.6,A+
S150,Female,15,84.7,3.2,70.8,5.6,92.5,97.4,100.0,99.9,100.0,98.0,A+
S151,Female,16,84.3,3.9,79.0,6.1,100.0,98.4,100.0,99.4,100.0,99.6,A+
S152,Male,17,85.1,5.3,76.1,5.6,100.0,100.0,100.0,100.0,100.0,100.0,A+
S153,Male,17,75.9,4.5,92.0,6.0,90.9,94.7,92.5,100.0,94.4,94.5,A+
S154,Male,18,84.1,3.3,81.1,8.1,100.0,100.0,100.0,92.8,95.8,97.7,A+
S155,Male,18,84.6,3.5,82.1,6.1,100.0,94.2,98.9,100.0,100.0,98.6,A+
S156,Male,18,75.6,2.3,73.1,9.6,100.0,100.0,100.0,100.0,100.0,100.0,A+
S157,Male,15,98.8,3.5,72.1,7.5,93.1,100.0,96.1,94.6,100.0,96.8,A+
S158,Female,16,86.3,3.2,72.8,7.2,100.0,100.0,100.0,98.0,96.3,98.9,A+
S159,Male,16,71.3,3.9,82.7,6.1,100.0,95.6,100.0,100.0,100.0,99.1,A+
S160,Male,15,87.9,2.5,72.9,7.7,92.8,100.0,100.0,100.0,100.0,98.6,A+
S161,Female,16,73.2,4.1,81.5,6.4,98.9,95.6,95.2,100.0,100.0,97.9,A+
S162,Female,15,89.1,5.3,100.0,7.1,90.7,100.0,100.0,97.7,98.9,97.5,A+
S163,Male,16,92.4,3.4,88.5,9.6,99.3,91.9,100.0,96.2,94.5,96.4,A+
S164,Female,17,74.6,4.0,74.1,6.9,100.0,100.0,99.0,98.7,90.0,97.5,A+
S165,Male,15,90.7,4.3,92.4,8.1,98.0,93.1,96.5,100.0,100.0,97.5,A+
S166,Male,18,85.7,3.0,73.1,6.3,100.0,96.8,100.0,94.5,100.0,98.3,A+
S167,Female,18,89.4,3.8,53.5,7.0,90.4,90.7,90.8,96.6,96.9,93.1,A+
S168,Male,17,99.1,3.5,65.9,8.8,100.0,96.5,98.0,97.4,100.0,98.4,A+
S169,Female,17,79.8,3.6,55.6,6.4,97.9,99.1,98.8,95.4,89.6,96.2,A+
S170,Male,18,75.2,2.6,73.8,8.8,100.0,83.5,93.4,86.4,83.9,89.4,A+
S171,Male,17,74.0,3.5,78.2,7.7,99.7,100.0,89.3,92.8,99.6,96.3,A+
S172,Male,17,74.7,4.1,98.1,6.4,100.0,85.5,97.0,100.0,100.0,96.5,A+
S173,Male,17,81.3,5.2,81.9,7.6,100.0,98.2,97.1,95.8,100.0,98.2,A+
S174,Female,15,85.1,4.7,75.4,8.0,96.0,100.0,98.6,97.8,100.0,98.5,A+
S175,Male,18,84.5,6.1,88.0,7.6,100.0,98.5,95.0,99.7,100.0,98.6,A+
S176,Male,17,89.4,2.6,51.5,5.4,85.1,79.6,89.2,83.5,83.4,84.2,A
S177,Male,15,82.1,4.5,80.8,6.3,100.0,100.0,100.0,100.0,100.0,100.0,A+
S178,Male,17,95.1,3.7,87.3,6.8,92.4,98.6,86.4,100.0,89.4,93.4,A+
S179,Male,18,79.6,6.1,60.3,6.9,99.7,97.3,95.8,100.0,96.2,97.8,A+
S180,Male,16,100.0,2.5,91.7,7.6,96.8,98.9,95.0,87.2,99.0,95.4,A+
S181,Female,16,87.6,2.5,82.1,7.2,100.0,95.3,100.0,97.2,91.5,96.8,A+
S182,Male,18,74.3,2.8,73.0,5.7,92.8,93.2,95.4,99.3,90.7,94.3,A+
S183,Male,18,72.4,1.0,85.6,7.4,89.1,93.9,93.7,88.2,89.4,90.9,A+
S184,Female,18,86.3,2.9,100.0,7.6,100.0,100.0,100.0,98.9,100.0,99.8,A+
S185,Male,18,80.0,2.6,80.2,7.6,99.2,100.0,98.5,100.0,94.2,98.4,A+
S186,Female,18,88.4,3.7,81.0,8.1,98.5,100.0,99.0,97.7,95.4,98.1,A+
S187,Male,18,86.3,3.9,72.5,7.8,100.0,100.0,97.7,100.0,100.0,99.5,A+
S188,Male,17,81.3,5.8,67.8,7.5,100.0,95.9,93.7,98.8,100.0,97.7,A+
S189,Male,17,74.4,4.6,88.0,6.9,100.0,98.1,100.0,100.0,92.1,98.0,A+
S190,Male,15,68.4,2.8,67.7,5.3,87.9,88.2,90.9,88.0,79.9,87.0,A
S191,Female,15,78.0,2.4,78.9,7.4,100.0,97.9,98.4,100.0,96.1,98.5,A+
S192,Female,16,89.7,4.1,72.3,7.2,85.8,85.3,91.1,90.3,95.3,89.6,A+
S193,Female,18,83.9,1.9,83.7,7.3,95.8,100.0,98.6,95.3,88.4,95.6,A+
S194,Male,16,70.8,5.7,82.0,5.7,97.8,93.6,98.0,98.0,97.4,97.0,A+
S195,Male,17,83.6,4.9,90.5,5.9,95.8,100.0,95.7,100.0,100.0,98.3,A+
S196,Female,18,85.5,2.9,71.9,8.1,97.0,100.0,92.1,93.8,100.0,96.6,A+
S197,Female,16,74.0,1.4,74.8,7.0,100.0,100.0,100.0,100.0,100.0,100.0,A+
S198,Female,15,83.4,5.1,66.3,7.7,89.4,96.5,94.6,100.0,100.0,96.1,A+
S199,Male,15,82.5,3.4,72.7,7.0,92.9,88.4,100.0,88.4,100.0,93.9,A+
S200,Male,16,71.7,5.0,82.5,7.0,98.5,90.7,100.0,96.6,100.0,97.2,A+
